City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
353,mahroni,24.5862,78.7288,79.47,84,100,12.62,IN,1722653779
354,lazaro cardenas,17.9583,-102.2,81.81,74,100,3.78,MX,1722653781
355,boende,-0.2167,20.8667,73.0,77,98,1.68,CD,1722653782
356,mount pearl,47.5166,-52.7813,56.32,95,100,12.66,CA,1722653783
357,stiens,53.2623,5.7577,64.38,70,75,6.91,NL,1722653784
358,tolanaro,-25.0319,46.9987,64.47,88,40,0.0,MG,1722653786
359,tagta,41.6504,59.9164,76.95,41,0,9.22,TM,1722653787
360,grass valley,39.2191,-121.0611,84.67,39,0,6.91,US,1722653788
361,kuching,1.55,110.3333,88.02,68,20,3.44,MY,1722653789
362,la punta,-33.1837,-66.3127,59.49,32,91,15.84,AR,1722653791
